MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK403,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-08
MK404,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-23
MK405,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-30
MK406,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-07
MK407,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-17
MK408,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-01-27
MK409,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-04
MK410,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-21
MK411,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-08
MK412,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-23
MK413,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-30
MK414,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-04-07
MK415,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-04-17
MK416,P002,PL02,S014,21990000,0,0,0.0,256GB,2024-02-11
MK417,P002,PL02,S013,26391000,0,0,0.0,256GB,2024-03-30
MK418,P002,PL02,S013,26091000,0,0,0.0,256GB,2024-04-17
MK419,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-02-04
MK420,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-02-11
MK421,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-02-21
MK422,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-03-08
MK423,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-03-23
MK424,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-03-30
MK425,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-04-07
MK426,P002,PL02,S014,36990000,0,0,0.0,512GB,2024-04-17
MK427,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-11
MK428,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-02-21
MK429,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-08
MK430,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-23
MK431,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-03-30
MK432,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-04-07
MK433,P002,PL02,S016,27000000,0,0,0.0,256GB,2024-04-17
MK434,P002,PL02,S017,28791180,0,0,0.0,256GB,2024-03-30
MK435,P002,PL02,S017,22467000,0,0,0.0,256GB,2024-03-30
MK436,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-02-21
MK437,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-08
MK438,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-23
MK439,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-03-30
MK440,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-07
MK441,P002,PL02,S016,30071000,0,0,0.0,256GB,2024-04-17
MK442,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-02-21
MK443,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-08
MK444,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-23
MK445,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-03-30
MK446,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-04-07
MK447,P002,PL02,S016,42000000,0,0,0.0,1TB,2024-04-17
MK448,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-02-21
MK449,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-03-08
MK450,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-03-23
MK451,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-03-30
MK452,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-04-07
MK453,P002,PL02,S016,34771000,0,0,0.0,512GB,2024-04-17
MK454,P002,PL02,S049,33990000,0,0,0.0,512GB,2024-03-30
MK455,P002,PL02,S049,33990000,0,0,0.0,512GB,2024-04-07
MK456,P002,PL02,S049,33990000,0,0,0.0,512GB,2024-04-17
MK457,P002,PL02,S048,23589000,0,0,0.0,256GB,2024-03-30
MK458,P002,PL02,S048,23589000,0,0,0.0,256GB,2024-04-07
MK459,P002,PL02,S048,23589000,0,0,0.0,256GB,2024-04-17
MK460,P001,PL03,S036,31490000,19490,3869,4.951378055122205,256GB,2024-03-23
MK461,P001,PL03,S038,31710000,6327,1239,4.966101694915254,256GB,2024-03-23
MK462,P001,PL03,S037,43990000,2650,514,4.978599221789883,256GB,2024-03-23
MK463,P001,PL03,S039,31890000,178,29,4.862068965517241,256GB,2024-03-23
MK464,P001,PL03,S038,39990000,57,18,5.0,512GB,2024-03-23
MK465,P001,PL03,S039,40460000,3,0,0.0,512GB,2024-03-23
MK466,P001,PL03,S040,36390000,21,5,5.0,256GB,2024-03-23
MK467,P002,PL03,S018,22890000,104,48,5.0,256GB,2024-03-23
MK468,P002,PL03,S022,21990000,111,32,5.0,256GB,2024-03-23
MK469,P002,PL03,S019,23990000,23,13,5.0,256GB,2024-03-23
